-23° -32' -57.8907''	-51° -40' -38.4789''
-23° -32' -58.0831''	-51° -40' -36.7228''
-23° -32' -58.2310''	-51° -40' -35.0806''
-23° -32' -58.3058''	-51° -40' -33.2852''
-23° -32' -58.5299''	-51° -40' -31.5052''
-23° -32' -58.7207''	-51° -40' -29.7536''
-23° -32' -58.8967''	-51° -40' -28.1547''
-23° -32' -59.1325''	-51° -40' -26.4428''
-23° -32' -59.2474''	-51° -40' -24.7266''
-23° -32' -59.3604''	-51° -40' -23.0302''
-23° -32' -59.5480''	-51° -40' -21.2908''
-23° -32' -59.7871''	-51° -40' -19.6324''
-23° -32' -59.9699''	-51° -40' -17.9437''
-23° -33' -0.1380''	-51° -40' -16.2071''
-23° -33' -0.3191''	-51° -40' -14.5120''
-23° -33' -0.5488''	-51° -40' -12.7692''
-23° -33' -0.7517''	-51° -40' -11.0728''
-23° -33' -0.9728''	-51° -40' -9.3003''
-23° -33' -1.1393''	-51° -40' -7.6532''
-23° -33' -1.3024''	-51° -40' -5.8656''
-23° -33' -1.4914''	-51° -40' -4.2017''
-23° -33' -2.1936''	-51° -40' -2.6678''
-23° -33' -3.7201''	-51° -40' -2.1152''
-23° -33' -5.1924''	-51° -40' -1.5540''
-23° -33' -6.5295''	-51° -40' -0.9670''
-23° -33' -7.9854''	-51° -40' -0.3164''
-23° -33' -9.4177''	-51° -39' -59.7064''
-23° -33' -11.0034''	-51° -39' -59.0561''
-23° -33' -12.3582''	-51° -39' -58.4386''
-23° -33' -13.8895''	-51° -39' -57.8659''
-23° -33' -15.3497''	-51° -39' -57.2944''
-23° -33' -16.7951''	-51° -39' -56.6578''
-23° -33' -18.2071''	-51° -39' -56.0124''
-23° -33' -19.7019''	-51° -39' -55.2761''
-23° -33' -21.1735''	-51° -39' -54.5376''
-23° -33' -22.6818''	-51° -39' -53.7486''
-23° -33' -24.0774''	-51° -39' -53.0585''
-23° -33' -25.5676''	-51° -39' -52.3405''
-23° -33' -26.9652''	-51° -39' -51.6957''
-23° -33' -28.3963''	-51° -39' -51.0510''
-23° -33' -29.8823''	-51° -39' -50.3481''
-23° -33' -31.2711''	-51° -39' -49.6946''
-23° -33' -32.6796''	-51° -39' -49.0442''
-23° -33' -34.2145''	-51° -39' -48.3416''
-23° -33' -35.5782''	-51° -39' -47.6855''
-23° -33' -37.0574''	-51° -39' -47.0074''
-23° -33' -38.4983''	-51° -39' -46.3869''
-23° -33' -39.8546''	-51° -39' -45.3730''
-23° -33' -39.7318''	-51° -39' -43.7208''
-23° -33' -38.6102''	-51° -39' -42.3202''
-23° -33' -37.6590''	-51° -39' -41.0082''
-23° -33' -36.9242''	-51° -39' -39.6880''
